Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
43017,"Argentera, l'",1,55,16,4,33,17,5,88,33,126,72,54,0.03968253968253968,0.6984126984126984,0.2619047619047619,0.013888888888888888,0.7638888888888888,0.2222222222222222,0.07407407407407407,0.6111111111111112,0.3148148148148148
8009,Argentona,990,4254,1036,954,4107,1288,1944,8361,2324,12629,6280,6349,0.1539314276664819,0.6620476680655634,0.1840209042679547,0.15764331210191082,0.6773885350318471,0.16496815286624203,0.150259883446212,0.6468735233895102,0.20286659316427783
17011,"Armentera, l'",86,326,91,87,309,99,173,635,190,998,503,495,0.17334669338677355,0.6362725450901804,0.1903807615230461,0.1709741550695825,0.6481113320079522,0.18091451292246521,0.17575757575757575,0.6242424242424243,0.2
43018,Arnes,18,117,83,21,114,88,39,231,171,441,218,223,0.08843537414965986,0.5238095238095238,0.3877551020408163,0.08256880733944955,0.536697247706422,0.38073394495412843,0.09417040358744394,0.5112107623318386,0.39461883408071746
25031,Arres,4,36,4,4,17,2,8,53,6,67,44,23,0.11940298507462686,0.7910447761194029,0.08955223880597014,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.17391304347826086,0.7391304347826086,0.08695652173913043
25032,Arsèguel,8,32,9,7,25,4,15,57,13,85,49,36,0.17647058823529413,0.6705882352941176,0.15294117647058825,0.16326530612244897,0.6530612244897959,0.1836734693877551,0.19444444444444445,0.6944444444444444,0.1111111111111111
8010,Artés,441,1985,482,441,1847,586,882,3832,1068,5782,2908,2874,0.15254237288135594,0.662746454514009,0.18471117260463507,0.1516506189821183,0.6825997248968363,0.1657496561210454,0.1534446764091858,0.6426583159359778,0.20389700765483645
25033,Artesa de Lleida,88,585,135,88,460,169,176,1045,304,1525,808,717,0.11540983606557377,0.6852459016393443,0.19934426229508198,0.10891089108910891,0.724009900990099,0.1670792079207921,0.12273361227336123,0.6415620641562064,0.23570432357043236
25034,Artesa de Segre,245,1186,341,241,1027,401,486,2213,742,3441,1772,1669,0.14123801220575413,0.6431269979657076,0.2156349898285382,0.13826185101580135,0.6693002257336343,0.19243792325056433,0.14439784301977232,0.6153385260635111,0.2402636309167166
43019,Ascó,101,517,202,95,483,213,196,1000,415,1611,820,791,0.12166356300434512,0.6207324643078833,0.2576039726877716,0.12317073170731707,0.6304878048780488,0.24634146341463414,0.12010113780025285,0.6106194690265486,0.2692793931731985
25036,Aspa,10,60,33,11,57,36,21,117,69,207,103,104,0.10144927536231885,0.5652173913043478,0.3333333333333333,0.0970873786407767,0.5825242718446602,0.32038834951456313,0.10576923076923077,0.5480769230769231,0.34615384615384615
25037,"Avellanes i Santa Linya, les",23,146,81,30,99,68,53,245,149,447,250,197,0.1185682326621924,0.5480984340044742,0.3333333333333333,0.092,0.584,0.324,0.15228426395939088,0.5025380710659898,0.34517766497461927
8011,Avià,172,709,219,149,706,244,321,1415,463,2199,1100,1099,0.14597544338335608,0.6434743065029559,0.21055025011368805,0.15636363636363637,0.6445454545454545,0.1990909090909091,0.13557779799818018,0.6424021838034577,0.22202001819836215
8012,Avinyó,173,766,209,153,695,290,326,1461,499,2286,1148,1138,0.1426071741032371,0.6391076115485564,0.21828521434820647,0.15069686411149827,0.6672473867595818,0.18205574912891986,0.1344463971880492,0.6107205623901582,0.2548330404217926
17012,Avinyonet de Puigventós,141,590,94,143,587,102,284,1177,196,1657,825,832,0.17139408569704284,0.7103198551599276,0.11828605914302957,0.1709090909090909,0.7151515151515152,0.11393939393939394,0.171875,0.7055288461538461,0.12259615384615384
8013,Avinyonet del Penedès,96,642,168,106,512,177,202,1154,345,1701,906,795,0.11875367430922987,0.678424456202234,0.20282186948853614,0.10596026490066225,0.7086092715231788,0.18543046357615894,0.13333333333333333,0.6440251572327044,0.22264150943396227
8015,Badalona,17330,74109,18562,16205,72395,24405,33535,146504,42967,223006,110001,113005,0.15037711989811933,0.6569509340555859,0.19267194604629473,0.15754402232706977,0.6737120571631167,0.16874392050981354,0.1434007344807752,0.6406353701163665,0.2159638954028583
8904,Badia del Vallès,973,4333,1167,944,4134,1677,1917,8467,2844,13228,6473,6755,0.14491986694889628,0.6400816449954642,0.21499848805563956,0.15031670013903908,0.6693959524177352,0.18028734744322572,0.1397483345669874,0.6119911176905996,0.24826054774241302
8016,Bagà,110,694,261,112,649,319,222,1343,580,2145,1065,1080,0.1034965034965035,0.6261072261072261,0.2703962703962704,0.10328638497652583,0.6516431924882629,0.24507042253521127,0.1037037037037037,0.600925925925926,0.2953703703703704
25039,Baix Pallars,20,122,42,15,98,45,35,220,87,342,184,158,0.1023391812865497,0.6432748538011696,0.2543859649122807,0.10869565217391304,0.6630434782608695,0.22826086956521738,0.0949367088607595,0.620253164556962,0.2848101265822785
25040,Balaguer,1502,6128,1288,1404,5325,1762,2906,11453,3050,17409,8918,8491,0.16692515365615487,0.657878109024068,0.17519673731977714,0.1684234133213725,0.6871495851087688,0.14442700156985872,0.16535154869862206,0.6271346131197739,0.20751383818160404
8017,Balenyà,312,1349,295,273,1300,371,585,2649,666,3900,1956,1944,0.15,0.6792307692307692,0.17076923076923076,0.15950920245398773,0.6896728016359919,0.15081799591002046,0.1404320987654321,0.668724279835391,0.19084362139917696
8018,Balsareny,198,1125,309,208,1004,434,406,2129,743,3278,1632,1646,0.12385600976205004,0.6494813910921293,0.22666259914582063,0.1213235294117647,0.6893382352941176,0.18933823529411764,0.12636695018226002,0.6099635479951397,0.26366950182260024
