MUNICIPI_CODI,"('No vacunat', 1, 'Total')","('No vacunat', 2, 'Total')","('No vacunat', 3, 'Total')","('vacunat', 1, 'Total')","('vacunat', 2, 'Total')","('vacunat', 3, 'Total')",Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17048,0.02663760745853009,0.015453436356242375,0.028457314028956564,0.97336239254147,0.9845465636437576,0.9715426859710434,Castell-Platja d'Aro,795.0,3824.0,1035.0,763.0,3822.0,1216.0,1558.0,7646.0,2251.0,11455.0,5654.0,5801.0,0.13601047577477085,0.6674814491488433,0.19650807507638585,0.14060841881853556,0.6763353378139371,0.1830562433675274,0.13152904671608343,0.6588519220823996,0.20961903120151698
17049,0.01945438282647585,0.011062516079238487,0.022896698615548456,0.9805456171735242,0.9889374839207615,0.9771033013844516,Celrà,571.0,1956.0,281.0,572.0,1911.0,315.0,1143.0,3867.0,596.0,5606.0,2808.0,2798.0,0.20388869068854798,0.6897966464502319,0.10631466286122013,0.20334757834757836,0.6965811965811965,0.10007122507122507,0.20443173695496783,0.6829878484631879,0.11258041458184417
17050,0.025032938076416336,0.01447178002894356,0.02717391304347826,0.9749670619235836,0.9855282199710564,0.9728260869565217,Cervià de Ter,95.0,313.0,90.0,74.0,313.0,88.0,169.0,626.0,178.0,973.0,498.0,475.0,0.1736896197327852,0.6433710174717369,0.1829393627954779,0.19076305220883535,0.6285140562248996,0.18072289156626506,0.15578947368421053,0.6589473684210526,0.18526315789473685
17051,0.02843601895734597,0.0,0.0,0.9715639810426541,1.0,1.0,Cistella,15.0,92.0,30.0,19.0,92.0,34.0,34.0,184.0,64.0,282.0,137.0,145.0,0.12056737588652482,0.6524822695035462,0.22695035460992907,0.10948905109489052,0.6715328467153284,0.21897810218978103,0.1310344827586207,0.6344827586206897,0.23448275862068965
17054,0.051194539249146756,0.0038022813688212928,0.00558659217877095,0.9488054607508533,0.9961977186311787,0.994413407821229,Colera,14.0,144.0,71.0,23.0,136.0,74.0,37.0,280.0,145.0,462.0,229.0,233.0,0.08008658008658008,0.6060606060606061,0.31385281385281383,0.0611353711790393,0.62882096069869,0.31004366812227074,0.09871244635193133,0.5836909871244635,0.31759656652360513
17056,0.00819672131147541,0.008948545861297539,0.015670910871694418,0.9918032786885246,0.9910514541387024,0.9843290891283056,Cornellà del Terri,202.0,790.0,235.0,187.0,769.0,239.0,389.0,1559.0,474.0,2422.0,1227.0,1195.0,0.1606110652353427,0.643682906688687,0.19570602807597026,0.16462917685411574,0.6438467807660961,0.1915240423797881,0.15648535564853555,0.6435146443514644,0.2
17057,0.01104417670682731,0.00966702470461869,0.016333938294010888,0.9889558232931727,0.9903329752953813,0.9836660617059891,Corçà,117.0,393.0,145.0,83.0,386.0,151.0,200.0,779.0,296.0,1275.0,655.0,620.0,0.1568627450980392,0.6109803921568627,0.23215686274509803,0.17862595419847327,0.6,0.22137404580152673,0.1338709677419355,0.6225806451612903,0.2435483870967742
17058,0.029069767441860465,0.024390243902439025,0.0449438202247191,0.9709302325581395,0.975609756097561,0.9550561797752809,Crespià,17.0,97.0,24.0,18.0,81.0,33.0,35.0,178.0,57.0,270.0,138.0,132.0,0.12962962962962962,0.6592592592592592,0.2111111111111111,0.12318840579710146,0.7028985507246377,0.17391304347826086,0.13636363636363635,0.6136363636363636,0.25
17060,0.0399002493765586,0.01639344262295082,0.026905829596412557,0.9600997506234414,0.9836065573770492,0.9730941704035875,Darnius,24.0,181.0,69.0,31.0,158.0,77.0,55.0,339.0,146.0,540.0,274.0,266.0,0.10185185185185185,0.6277777777777778,0.27037037037037037,0.08759124087591241,0.6605839416058394,0.2518248175182482,0.11654135338345864,0.5939849624060151,0.2894736842105263
17061,0.006622516556291391,0.0,0.0,0.9933774834437086,1.0,1.0,Das,20.0,89.0,20.0,28.0,70.0,21.0,48.0,159.0,41.0,248.0,129.0,119.0,0.1935483870967742,0.6411290322580645,0.16532258064516128,0.15503875968992248,0.689922480620155,0.15503875968992248,0.23529411764705882,0.5882352941176471,0.17647058823529413
